年,月,日,検査件数,陽性,陰性
2020,4,11,4,0,4
2020,4,12,3,0,3
2020,4,13,9,0,9
2020,4,14,2,0,2
2020,4,15,4,0,4
2020,4,16,3,0,3
2020,4,17,4,0,4
2020,4,18,2,0,2
2020,4,19,0,0,0
2020,4,20,8,0,8
2020,4,21,5,0,5
2020,4,22,12,0,12
2020,4,23,6,0,6
2020,4,24,5,0,5
2020,4,25,2,0,2
2020,4,26,1,0,1
2020,4,27,5,0,5
2020,4,28,7,0,7
2020,4,29,3,0,3
2020,4,30,4,0,4
2020,5,1,1,0,1
2020,5,2,2,0,2
2020,5,3,1,0,1
2020,5,4,3,0,3
2020,5,5,0,0,0
2020,5,6,0,0,0
2020,5,7,1,0,1
2020,5,8,4,0,4
2020,5,9,0,0,0
2020,5,10,0,0,0
2020,5,11,6,0,6
