年,月,日,検査件数,陽性,陰性
2020,4,11,17,0,17
2020,4,12,10,0,10
2020,4,13,11,0,11
2020,4,14,15,0,15
2020,4,15,12,0,12
2020,4,16,10,0,10
2020,4,17,8,0,8
2020,4,18,7,1,6
2020,4,19,29,0,29
2020,4,20,15,0,15
2020,4,21,12,0,12
2020,4,22,8,0,8
2020,4,23,5,0,5
2020,4,24,13,0,13
2020,4,25,8,0,8
2020,4,26,5,0,5
2020,4,27,9,0,9
2020,4,28,5,0,5
2020,4,29,7,0,7
2020,4,30,9,0,9
2020,5,1,8,0,8
2020,5,2,3,0,3
2020,5,3,4,0,4
2020,5,4,2,0,2
2020,5,5,2,0,2
2020,5,6,0,0,0
2020,5,7,6,0,6
2020,5,8,4,0,4
2020,5,9,5,0,5
2020,5,10,1,0,1
2020,5,11,5,0,5
2020,5,12,5,0,5
2020,5,13,7,0,7
2020,5,14,3,0,3
2020,5,15,4,0,4
2020,5,16,5,0,5
2020,5,17,1,0,1
2020,5,18,0,0,0
2020,5,19,5,0,5
2020,5,20,1,0,1
2020,5,21,3,0,3
2020,5,22,3,0,3
2020,5,23,5,0,5
2020,5,24,0,0,0
2020,5,25,4,0,4
2020,5,26,3,0,3
2020,5,27,2,0,2
2020,5,28,1,0,1
2020,5,29,4,0,4
2020,5,30,0,0,0
2020,5,31,2,0,2
2020,6,1,4,0,4
2020,6,2,0,0,0
2020,6,3,1,0,1
2020,6,4,8,0,8
2020,6,5,3,0,3
2020,6,6,2,0,2
2020,6,7,1,0,1
2020,6,10,4,0,4
2020,6,11,4,0,4
2020,6,12,0,0,0
2020,6,13,0,0,0
2020,6,14,1,0,1
2020,6,15,3,0,3
2020,6,16,2,0,2
2020,6,17,0,0,0
2020,6,18,3,0,3
2020,6,19,2,0,2
2020,6,20,1,0,1
2020,6,21,0,0,0
2020,6,22,3,0,3
2020,6,23,1,0,1
2020,6,24,2,0,2
2020,6,25,0,0,0
2020,6,26,4,0,4
2020,6,27,3,0,3
2020,6,28,1,0,1
2020,6,29,2,0,2
2020,6,30,1,0,1
2020,7,1,3,0,3
2020,7,2,0,0,0
2020,7,3,2,0,2
2020,7,4,4,0,4
2020,7,5,4,0,0
2020,7,6,4,0,4
2020,7,7,5,0,5
2020,7,8,6,0,6
2020,7,9,6,0,6
2020,7,10,0,0,0
2020,7,11,5,0,5
2020,7,12,4,1,3
2020,7,13,40,0,40
2020,7,14,42,0,42
2020,7,15,19,0,19
2020,7,16,11,0,11
2020,7,17,12,0,12
2020,7,18,5,0,5
2020,7,19,2,0,2
2020,7,20,7,0,7
2020,7,21,10,0,10
2020,7,22,5,0,5
2020,7,23,3,0,3
2020,7,24,1,0,1
2020,7,25,6,0,6
2020,7,26,2,0,2
2020,7,27,11,0,11
2020,7,28,10,0,10
2020,7,29,9,0,9
2020,7,30,19,0,19
2020,7,31,18,0,18
2020,8,1,9,0,9
2020,8,2,16,0,16
2020,8,3,16,0,16
2020,8,4,19,0,19
2020,8,5,10,0,10
2020,8,6,37,1,36
2020,8,7,47,0,47
2020,8,8,22,0,22
2020,8,9,6,0,6
2020,8,10,52,0,52
2020,8,11,51,0,51
2020,8,12,14,0,14
2020,8,13,14,0,14
2020,8,14,5,0,1
2020,8,15,5,0,5
2020,8,16,3,0,3
2020,8,17,10,0,10
2020,8,18,10,0,10
2020,8,19,31,0,1
2020,8,20,31,0,31
2020,8,21,15,0,15
2020,8,22,9,0,9
2020,8,23,1,0,1
2020,8,24,7,0,7
2020,8,25,7,0,7
2020,8,26,5,0,5
2020,8,27,4,0,4
2020,8,28,2,0,2
2020,8,29,2,0,2
2020,8,30,1,0,1
2020,8,31,8,0,8
2020,9,1,0,0,0
2020,9,2,7,0,7
2020,9,3,4,0,4
2020,9,4,0,0,0
2020,9,5,1,0,1
2020,9,6,0,0,0
2020,9,7,2,0,2
2020,9,8,1,0,1
2020,9,9,4,0,4
2020,9,10,4,0,4
2020,9,11,3,0,3
2020,9,12,35,8,27
2020,9,13,13,1,12
2020,9,14,79,2,77
2020,9,15,20,0,20
2020,9,16,19,0,19
2020,9,17,13,0,13
2020,9,18,44,1,43
2020,9,19,64,0,64
2020,9,20,234,0,234
2020,9,21,131,0,131
2020,9,22,1,0,1
2020,9,23,5,0,5
2020,9,24,7,0,7
2020,9,25,3,0,3
2020,9,26,1,0,1
2020,9,27,2,0,2
2020,9,28,4,0,4
2020,9,29,20,0,20
2020,9,30,1,0,1
2020,10,1,3,0,0
