年,月,日,検査件数,陽性,陰性
2020,4,11,26,0,26
2020,4,12,0,0,0
2020,4,13,28,0,28
2020,4,14,18,0,18
2020,4,15,17,0,17
2020,4,16,52,0,52
2020,4,17,4,0,4
2020,4,19,100,0,100
2020,4,20,60,0,60
2020,4,21,12,0,12
2020,4,22,32,0,32
2020,4,23,27,0,27
2020,4,24,10,0,10
2020,4,25,17,0,17
2020,4,26,5,0,5
2020,4,27,7,0,7
2020,4,28,14,0,14
2020,4,29,9,0,9
2020,4,30,2,0,2
2020,5,1,7,0,7
2020,5,2,8,0,8
2020,5,3,6,0,6
2020,5,4,3,0,3
2020,5,5,11,0,11
2020,5,6,6,0,6
2020,5,7,5,0,5
2020,5,8,4,0,4
2020,5,9,3,0,3
2020,5,10,4,0,4
2020,5,11,8,0,8
2020,5,12,6,0,6
2020,5,13,6,0,6
2020,5,14,6,0,6
2020,5,15,5,0,5
2020,5,16,4,0,4
2020,5,17,1,0,1
2020,5,18,7,0,7
2020,5,19,3,0,3
2020,5,20,8,0,8
2020,5,21,5,0,5
2020,5,22,2,0,2
2020,5,23,1,0,1
2020,5,24,2,0,2
2020,5,25,1,0,1
2020,5,26,2,0,2
2020,5,27,3,0,3
2020,5,28,3,0,1
